"LABEL","PLATFORM","TYPE","ENGLISH","AMERICAN","FRENCH","GERMAN","DANISH","FRENCH_CANADIAN","DUTCH","MEXICAN"
"CS_LordVortech_ChanceMeetingsAnd","All","Subtitle","Lord Vortech: Chance meetings and setbacks to your petty pilfering do not concern me. We have the Foundation Element - that is all that matters.","Lord Vortech: Chance meetings and setbacks to your petty pilfering do not concern me. We have the Foundation Element - that is all that matters.","Lord Vortech : Les mauvaises rencontres et les incidents lors de vos petits larcins ne me regardent pas. Nous détenons l'Élément fondateur. C'est tout ce qui compte maintenant.","Lord Vortech: Deine persönlichen Begegnungen und Rückschläge interessieren mich nicht. Wir haben das Fundament-Element ... das ist alles was zählt.","Tilfældige møder og problemer med dine smårapserier vedrører ikke mig. Vi har kerneelementet – alt andet er ligegyldigt.","Lord Vortech : Les mauvaises rencontres et les incidents lors de vos petits larcins ne me regardent pas. Nous détenons l'Élément fondateur. C'est tout ce qui compte maintenant.","Lord Vortech: Wie je tegenkomt of wat je doet tijdens je zielige plunderingen interesseert me niet. We hebben het Funderingselement. Daar gaat het om.","Lord Vortech: Los encuentros fortuitos y los contratiempos con tus robos insignificantes no me importan. Tenemos el elemento base. Solo eso importa."
"CS_LordVortech_NowIfIWereAFlux","All","Subtitle","Lord Vortech: Now, let me see... if I were a Flux Capacitor, then where would I be hiding?","Lord Vortech: Now, let me see... if I were a Flux Capacitor, then where would I be hiding?","Lord Vortech : Bon, voyons voir. Si j'étais un convecteur temporel, où est-ce que j'irais me cacher¬?","Lord Vortech: Also, wenn ich ein Flux-Kompensator wäre, wo würde ich mich verstecken?","Nå lad mig nu se, hvis jeg var en fluxkondensator, hvor ville jeg så gemme mig?","Lord Vortech : Bon, voyons voir. Si j'étais un convecteur temporel, où est-ce que j'irais me cacher¬?","Lord Vortech: Als ik een Fluxcondensator was, waar zou ik me dan verstoppen?","Lord Vortech: Ahora, veamos: si yo fuera un condensador de flujos, ¿dónde me escondería?"
"CS_Gandalf_WhatHaveTheyDoneToYou","All","Subtitle","Gandalf: What have they done to you?","Gandalf: What have they done to you?","Gandalf : Qu'est-ce qu'ils ont fait, ces rats¬?","Gandalf: Was haben sie dir angetan?","Hvad har de gjort ved dig?","Gandalf : Qu'est-ce qu'ils ont fait, ces rats¬?","Gandalf: Wat hebben ze met je gedaan?","Gandalf: ¿Qué te han hecho?"
"DX_DC_Quest01_DUR4","All","Subtitle","We got a bogey on our twelve!","We got a bogey on our twelve!","Ennemi repéré, à douze heures¬!","Wir haben einen Bogey auf zwölf Uhr!","Vi har en fjende lige bag os mand!","Ennemi repéré, à douze heures¬!","Vreemde vogel op twaalf uur!","¡Tenemos un hostil a las doce!"
"DX_Saruman_SauronIs","All","Subtitle","Saruman: Sauron is gathering all power to him... And I must assure him of my devotion!","Saruman: Sauron is gathering all power to him... And I must assure him of my devotion!","Saroumane : Sauron est en train de rassembler toutes les puissances. Je dois lui prouver mon dévouement¬!","Saruman: Sauron sammelt alle Kräfte um sich ... und ich muss ihm meine Treue versichern.","Sauron suger al magten til sig, og jeg må vise ham, at jeg er loyal.","Saroumane : Sauron est en train de rassembler toutes les puissances. Je dois lui prouver mon dévouement¬!","Saruman: Sauron trekt alle macht naar zich toe. Ik moet hem mijn toewijding tonen.","Saruman: Sauron está reuniendo todo su poder... ¡Debo asegurarle mi devoción!"
"HUB_OZMINIKIT","All","Hint","Collect all the ~5minikits~~ in Follow the LEGO Brick Road to unlock this event!","Collect all the ~5minikits~~ in Follow the LEGO Brick Road to unlock this event!","Récoltez tous les ~5minikits~~ dans Suivez la route de brique LEGO jaune pour déverrouiller cet événement¬!","Sammle alle ~5Minikits~~ in Folge dem LEGO-Stein-Weg, um dies freizuschalten!","Saml alle ~5minikits~~ i Følg LEGO klods vejen for at låse op for denne event!","Récoltez tous les ~5minikits~~ dans Suivez la route de brique LEGO jaune pour déverrouiller cet événement¬!","Verzamel alle ~5minisets~~ in Volg het pad met de LEGO-stenen om deze gebeurtenis te ontgrendelen!","¡Colecta todos los ~5minikits~~ en Sigue el camino de ladrillos LEGO para desbloquear este evento!"
"DX_Boromir_YouCarryTheFate","All","Subtitle","Boromir: You carry the fate of us all, little one.","Boromir: You carry the fate of us all, little one.","¬","Boromir: Du bestimmst unser aller Schicksal, kleiner Mann.","¬","¬","Boromir: Het lot van ons allen ligt in jouw handen, kleintje.","¬"
"MOVIE_QUEST00_ACT_PAGE2","All","Hint","We argued for ages and ages and AGES until FINALLY he accepted that I was right! Um, that is... After I threw all his ~4instruction pages~~ off the cloud in a rage... Ohh, I just feel the OPPOSITE of happy about that! Could you please help me get them back?","We argued for ages and ages and AGES until FINALLY he accepted that I was right! Um, that is... After I threw all his ~4instruction pages~~ off the cloud in a rage... Ohh, I just feel the OPPOSITE of happy about that! Could you please help me get them back?","Unikitty : On a discuté pendant des plombes et des PLOMBES, des plombes jusqu'à ce qu'il finisse par admettre que j'avais raison¬!... Enfin, après que j'aie brutalement balancé du nuage toutes ses pages d'instructions... Oooh, je devrais éprouver le CONTRAIRE de la joie, pour ça¬! Hé, vous pouvez m'aider à les récupérer¬?","Wir stritten und stritten und stritten so lange, bis er endlich einsah, dass ich recht hatte ... ähm, nachdem ich seine ~4Anleitungen~~ vor Wut von der Wolke geworfen habe. Ooooh, jetzt bin ich das Gegenteil von glücklich darüber. Hilfst du mir, sie zurückzuholen?","Vi skændtes i EVIGHEDER indtil han ENDELIG accepterede at jeg havde ret! Det er selvfølgelig efter at jeg... Kastede alle hans ~4byggeinstruktioner~~ ud over kanten af skyen i et raserianfald... Åhh, Nu er jeg bare det MODSATTE af glad! Kunne du ikke hjælpe mig med at få dem tilbage?","Unikitty : On a discuté pendant des plombes et des PLOMBES, des plombes jusqu'à ce qu'il finisse par admettre que j'avais raison¬!... Enfin, après que j'aie brutalement balancé du nuage toutes ses pages d'instructions... Oooh, je devrais éprouver le CONTRAIRE de la joie, pour ça¬! Hé, vous pouvez m'aider à les récupérer¬?","We discussieerden uren en uren en úren, tot hij éíndelijk accepteerde dat ik gelijk had! Uhm, hoewel... dat deed hij pas toen ik al zijn ~4instructiepagina's~~ uit woede van de wolk gooide... O, ik voel me het tegenovergestelde van blij daarover! Kun je me alsjeblieft helpen om ze terug te halen?","¡Discutimos por siglos y siglos y siglos hasta que finalmente aceptó que yo estaba en lo correcto! Mmm, eso fue... después de que aventé todas sus hojas con instrucciones fuera de la nube por ira... ¡Ay, me siento lo opuesto a feliz por eso! ¿Me podrías ayudar a recuperarlas?"
"ti_KrustyBike_3","All","Char","Anti-Gravity Rocket Bike","Anti-Gravity Rocket Bike","Moto fusée anti-gravité","Anti-Schwerkraft-Raketen-Rad","Anti-Gravity Rocket Bike","Moto fusée anti-gravité","Anti-zwaartekracht raketmotor","Bici cohete antigravedad"
"CHIMA_QUEST00","All","Game","Reegull's Recall","Reegull's Recall","Les souvenirs de Reegull","Reegulls CHI-Fall","Reegulls tilbagekald","Les souvenirs de Reegull","Reegulls terughaalactie","Retiro de Reegull"
"BURNSMANOR","All","Game","Renovate Mr. Burns' garden?","Renovate Mr. Burns' garden?","Restaurer le jardin de M. Burns¬?","Mr. Burns' Garten renovieren?","Reparer Mr. Burns' have?","Restaurer le jardin de M. Burns¬?","Meneer Burns' tuin opknappen?","¿Renovar el jardín del Sr. Burns?"
"HINT_LLOYD","All","Hint","[[char=Lloyd]] can travel to the ~2Ninjago World~~. Use the Vorton Gateway on Vorton to reach it.","[[char=Lloyd]] can travel to the ~2Ninjago World~~. Use the Vorton Gateway on Vorton to reach it.","[[char=Lloyd]] peut voyager vers le monde ~2Ninjago~~. Utilisez le Gateway Vorton sur Vorton pour l'atteindre.","[[char=Lloyd]] kann zur ~2„Ninjago“-Welt~~ reisen. Verwende das Vorton-Tor auf Vorton, um dort hin zu gelangen.","[[char=Lloyd]] kan rejse til ~2Verden: Ninjago~~. Brug Vorton-portalen på Vorton for at rejse dertil.","[[char=Lloyd]] peut voyager vers le monde ~2Ninjago~~. Utilisez le Gateway Vorton sur Vorton pour l'atteindre.","[[char=Lloyd]] kan naar de ~2Ninjago-wereld~~ reizen. Gebruik de Vorton-doorgang op Vorton om ernaartoe te gaan.","[[char=Lloyd]] puede viajar al ~2Mundo de Ninjago~~. Usa el portal de Vorton para llegar allí."
"bio_TheDoctor_0","All","Game","The Doctor (Doctor Who)","The Doctor (Doctor Who)","Le Docteur (Doctor Who)","Doctor Who (Doctor Who)","Doctor Who (Doctor Who)","The Doctor (Doctor Who)","Doctor Who (Doctor Who)","Doctor Who (Doctor Who)"
"CS_LordVortech_AhGoodGuys","All","Subtitle","Lord Vortech: Ah, good guys?","Lord Vortech: Ah, good guys?","Lord Vortech : Ah... des gentils¬?","Lord Vortech: Ah ... Helden?","I er helte?","Lord Vortech : Ah... des gentils¬?","Lord Vortech: Eh, 'goeieriken'?","Lord Vortech: Ah, ¿''chicos buenos''?"
"DX_Batman_YouCanBarricade","All","Subtitle","Batman: You can barricade yourself in all you like, Riddler. I'm coming for you!","Batman: You can barricade yourself in all you like, Riddler. I'm coming for you!","Batman : Tu peux te barricader autant que tu veux, l'Homme-mystère. Je viens te chercher¬!","Batman: Du kannst du so viel verbarrikadieren wie du willst, Riddler ... ich krieg dich schon!","Du kan barrikadere dig selv inde lige så tosset, du vil, Riddler. Jeg kommer og tager dig!","Batman : Tu peux te barricader autant que tu veux, l'Homme-mystère. Je viens te chercher¬!","Batman: Bouw jezelf maar lekker in, Riddler. Ik kom je halen!","Batman: Puedes esconderte todo lo que quieras, Acertijo. ¡Te encontraré!"
"DX_CyberController_Hostility","All","Subtitle","Cyber-Controller: Hostility Detected. Failure to comply with upgrading is not an option.","Cyber-Controller: Hostility Detected. Failure to comply with upgrading is not an option.","Cyber-controlleur : Comportement hostile. Refuser l'amélioration n'est pas une option viable.","Cyber-Controller: Feindseligkeit entdeckt. Eine Verweigerung des Upgrades ist nicht möglich.","Fjender opdaget. Det er ikke en mulighed, ikke at blive opgraderet.","Cyber-controlleur : Comportement hostile. Refuser l'amélioration n'est pas une option viable.","Cyber-Controller: Vijandelijkheid gedetecteerd. Weigering te upgraden is geen optie.","Cibercontrol: Hostilidad detectada. Rechazar la actualización no es una opción."
"DX_Batman_HmmThereMayBeTrouble","All","Subtitle","Batman: Hmm, there may be trouble ahead.","Batman: Hmm, there may be trouble ahead.","Batman : Hmmm, j'crois qu'on va avoir des ennuis.","Batman: Hm, da kommt Ärger auf uns zu.","Hmm... der er vist problemer forude.","Batman : Hmmm, j'crois qu'on va avoir des ennuis.","Batman: We komen misschien in de problemen.","Batman: Hmm, parece que nos esperan problemas."
"PERIL_OZWIZARD","All","Hint","Wizard Of Oz Rescued!","Wizard Of Oz Rescued!","Vous avez sauvé le Magicien d'Oz¬!","Zauberer von Oz gerettet!","Troldmanden fra Oz blev reddet!","Vous avez sauvé le Wizard of Oz¬!","De tovenaar van Oz gered!","¡Rescataste al Mago de Oz!"
"DX_Aquaman_YouKnowWhyILike","All","Subtitle","Aquaman: You know why I like the Batmobile? It's got fins! Like a fish!","Aquaman: You know why I like the Batmobile? It's got fins! Like a fish!","Aquaman : Vous savez pourquoi j'aime la Batmobile¬? Elle a des ailerons¬! Comme un poisson¬!","Aquaman: Wisst ihr, was ich am Batmobil so mag? Es hat Flossen, wie ein Fisch!","Ved du hvad jeg elsker ved Batmobilen? Den har finner! Som en fisk!","Aquaman : Vous savez pourquoi j'aime la Batmobile¬? Elle a des ailerons¬! Comme un poisson¬!","Aquaman: Weet je waarom ik dol ben op de Batmobile? Hij heeft vinnen, net als een vis.","Aquaman: ¿Sabes por qué me gusta el batimóvil? ¡Tiene aletas! ¡Como un pez!"
"DX_Cragger_iPromiseIWontMess","All","Subtitle","Cragger: I promise I won't mess this up!","Cragger: I promise I won't mess this up!","Cragger : Promis, j'vais pas tout gâcher¬!","Cragger: Ich verspreche, das nicht zu ruinieren!","Jeg lover, at jeg ikke vil fumle i det.","Cragger : Promis, j'vais pas tout gâcher¬!","Cragger: Ik beloof dat ik het niet verpest.","Cragger: ¡Prometo que no lo arruinaré!"
"DX_Gandalf_AnEnchantedCarrige","All","Subtitle","Gandalf: An enchanted carriage that flies...what sorcery is this?","Gandalf: An enchanted carriage that flies...what sorcery is this?","Gandalf : Une charrette enchantée qui vole... Quelle est cette sorcellerie¬?","Gandalf: Eine verzauberte Kutsche, die fliegt? Welch Hexenwerk ist das?","En fortryllet kærre, der flyver ... hvilken trolddom står bag?","Gandalf : Une charrette enchantée qui vole... Quelle est cette sorcellerie¬?","Gandalf: Een betoverde slee die vliegt. Wat is dit voor tovenarij?","Gandalf: Un carruaje encantado que vuela... ¿qué hechicería es esta?"
"DX_Jay_IfYouNeedHelpThenFeel","All","Subtitle","Jay: If you need help then feel free to call... someone else next time.","Jay: If you need help then feel free to call... someone else next time.","Jay : Si vous avez besoin d'aide, pensez à appeler... quelqu'un d'autre, la prochaine fois.","Jay: Wenn ihr wieder mal Hilfe braucht, könnt ihr gerne ... jemand anderen rufen!","Har I brug for hjælp, så bare kald ... på alle andre end mig.","Jay : Si vous avez besoin d'aide, pensez à appeler... quelqu'un d'autre, la prochaine fois.","Jay: Als je hulp nodig hebt, bel dan gerust... iemand anders de volgende keer.","Jay: Si necesitan ayuda, solo llamen... a otro la próxima vez."
"DX_LionTribeMale_ImThinking","All","Subtitle","I'm thinking of dyeing my mane...","I'm thinking of dyeing my mane...","Je songeais à me faire teindre la crinière...","Ich überlege, mir die Mähne zu färben¬...","Jeg overvejer at farve min manke ...","Je songeais à me faire teindre la crinière...","Ik denk erover mijn manen te verven.","Estoy pensando en teñirme la melena..."
"DX_Owen_YouSnoozeYouLose","All","Subtitle","Owen Grady: You snooze, you lose.","Owen Grady: You snooze, you lose.","Owen Grady : C'est pas le moment de pioncer¬!","Owen Grady: Wer rastet, der rostet.","Gaber du, så taber du!","Owen Grady : C'est pas le moment de pioncer¬!","Owen Grady: Eén nies en je verliest.","Owen Grady: Si te duermes, pierdes."
"DX_USFemale_iAintAfraidOfNoZ","All","Subtitle","I ain't afraid of no ghost! But I AM afraid of how much it's gonna cost to restore THIS...","I ain't afraid of no ghost! But I AM afraid of how much it's gonna cost to restore THIS...","Je n'ai pas peur des fantômes¬! Mais j'ai peur de savoir combien ça va me coûter, de restaurer TOUT ÇA...","Ich hab keine Angst vor Geistern! Ich hab nur Angst davor, was die Reparaturen hier kosten!","Jeg er ikke bange for spøgelser! Men jeg ER bange for hvor meget det vil koste at genopbygge det her!","Je n'ai pas peur des fantômes¬! Mais j'ai peur de savoir combien ça va me coûter, de restaurer TOUT ÇA...","Ik ben niet bang voor spoken. Maar wel voor de kosten die nodig zijn om dit op te knappen.","¡No me asustan los fantasmas! Lo que me asusta es cuánto me va a costar restaurar esto..."
"DX_Zane_HmmThisWillRequire","All","Subtitle","Zane: Hmm. This will require some lateral thought to bypass.","Zane: Hmm. This will require some lateral thought to bypass.","Zane : Hmmm. Une réflexion stratégique s'impose ici.","Zane: Hm, ich glaube, da bedarf es wohl noch eines Einfalls.","Hmm. Her er det vist påkrævet, at jeg tænker mig om.","Zane : Hmmm. Une réflexion stratégique s'impose ici.","Zane: Ik moet mijn hersenen aan het werk zetten om hier langs te komen.","Zane: Hmm. Esto requerirá un poco de pensamiento lateral para sobrepasarlo."
"CS_TheJoker_TrustMe","All","Subtitle","The Joker: Trust me, if you underestimate the Crêped Crusader, you'll end up getting battered...","The Joker: Trust me, if you underestimate the Crêped Crusader, you'll end up getting battered...","Le Joker : Croyez-moi, si vous sous-estimez le Justicier de la nuit, il va vous filer des cauchemars...","Joker: Glaub mir, wenn du den röstigen Rächer unterschätzt, wirst du selbst gebraten!","Tro mig, hvis du undervurderer den malplacerede hævner, ender du med at få bank med battet.","The Joker : Croyez-moi, si vous sous-estimez le Justicier de la nuit, il va vous filer des cauchemars...","De Joker: Geloof me, als je de pipo met de vilten cape onderschat, krijg je een pak slaag.","El Guasón: Confía en mí, si subestimas al cruzado empañado, terminarás adolorido..."
"CS_DocEmmetBrown_GreatScott2","All","Subtitle","Doc Emmett Brown: Great Scott!","Doc Emmett Brown: Great Scott!","Doc Emmett Brown : Nom de Zeus¬!","Doc Emmett Brown: Grundgütiger!","Du store kineser!","Doc Emmett Brown : Nom de Zeus¬!","Doc Emmett Brown: Gossiemikkie!","Doc Emmett Brown: ¡Santo Cielo!"
"CS_EXPO_iGuessNotEveryone_ALT","All","Subtitle","X-PO: I guess not everyone loves my carefree approach towards protecting the universe. Sorry, I couldn't save your-","X-PO: I guess not everyone loves my carefree approach towards protecting the universe. Sorry, I couldn't save your-","X-PO : Mon attitude désinvolte face au sauvetage de l'univers ne plaît pas à tout le monde. Je suis désolé pour vos...","X-PO: Ich fürchte, nicht jeder liebt meine sorglose Einstellung zur Rettung des Universums. Tut mir leid, dass ich eure--","Det er åbenbart ikke alle, der værdsætter min afslappede måde at beskytte universet på. Beklager at jeg ikke kunne redde...","X-PO : Mon attitude désinvolte face au sauvetage de l'univers ne plaît pas à tout le monde. Je suis désolé pour vos...","X-PO: Niet iedereen houdt blijkbaar van mijn nonchalante houding ten opzichte van het beschermen van het universum. Sorry, ik redde niet je...","X-PO: Supongo que no todos aman mi enfoque despreocupado hacia la protección del universo. Lo siento, no pude salvar su..."
"DX_DC_Quest01_DUR5","All","Subtitle","You got a what on your where?","You got a what on your where?","Heure d'été ou heure d'hiver¬?","Ein was ist wann und wo?","Vi har en hvad? Klokken hvor?","Heure d'été ou heure d'hiver¬?","Een wat op je wat?","¿Que tienes un qué en dónde?"
"DX_Saruman_YouShall","All","Subtitle","Saruman: You shall rue the day you questioned Saruman the White!","Saruman: You shall rue the day you questioned Saruman the White!","Saroumane : Vous maudirez le jour où vous avez douté de Saroumane le Blanc¬!","Saruman: Ihr werdet den Tag bereuen, an dem ihr Saruman den Weißen in Frage stelltet.","I vil fortryde den dag, I betvivlede Saruman den Hvide!","Saroumane : Vous maudirez le jour où vous avez douté de Saroumane le Blanc¬!","Saruman: Het zal je berouwen dat je twijfelde aan Saruman de Witte.","Saruman: ¡Lamentarán el día en que dudaron de Saruman el Blanco!"
"HUB_NINJAGOMINIKIT","All","Hint","Collect all the ~5minikits~~ in Elements of Surprise to unlock this event!","Collect all the ~5minikits~~ in Elements of Surprise to unlock this event!","Récoltez tous les ~5minikits~~ dans Éléments de surprise pour déverrouiller cet événement¬!","Sammle alle ~5Minikits~~ in Überraschungselemente, um dies freizuschalten!","Saml alle ~5minikits~~ i Overraskelseselementet for at låse op for denne event!","Récoltez tous les ~5minikits~~ dans Éléments de surprise pour déverrouiller cet événement¬!","Verzamel alle ~5minisets~~ in Verrassende elementen om deze gebeurtenis te ontgrendelen!","¡Colecta todos los ~5minikits~~ en Elementos de sorpresa para desbloquear este evento!"
"DX_Wheatley_AndIThinkMy","All","Subtitle","Wheatley: And I think my work here is done!","Wheatley: And I think my work here is done!","Wheatley : Je crois que mon travail est terminé¬!","Wheatley: Und meine Arbeit hier ist getan!","Og så er jeg vist færdig her.","Wheatley : Je crois que mon travail est terminé¬!","Wheatley: Volgens mij ben ik hier klaar.","Wheatley: ¡Creo que mi trabajo aquí terminó!"
"HINT_CAULDRON_TRANSFORM","All","Hint","~2Green~~ cauldrons will change you into a creature who can dig up items and fit into ~2green~~ maze tubes.[[newPage]]Press [[SPECIAL]] by the cauldron to drink. You can hold [[TAG]] to return to normal.","~2Green~~ cauldrons will change you into a creature who can dig up items and fit into ~2green~~ maze tubes.[[newPage]]Press [[SPECIAL]] by the cauldron to drink. You can hold [[TAG]] to return to normal.","Les chaudrons ~3verts~~ vous permettront de vous transformer en créatures qui peuvent creuser et d'entrer dans les tuyaux de labyrinthe ~2verts~~.[[newPage]]Appuyez sur [[SPECIAL]] près du chaudron pour boire. Maintenez [[TAG]] appuyé pour retourner à l'état normal.","~2Grüne~~ Kessel verwandeln dich in eine Kreatur, die graben und ~2grüne~~ Labyrinthe betreten kann.[[newPage]]Drück [[SPECIAL]], wenn du neben dem Kessel stehst, um einen Schluck zu trinken. Halte [[TAG]] gedrückt, um wieder normal zu werden.","En ~2grøn~~ heksekedel forvandler dig om til et væsen der kan grave efter genstande, og som passer ind i ~2grønne~~ labyrintrør.[[newPage]]Tryk på [[SPECIAL]] ved kedlen for at drikke indholdet. Du kan holde [[TAG]] nede for at blive normal igen.","Les chaudrons ~3verts~~ vous permettront de vous transformer en créatures qui peuvent creuser et d'entrer dans les tuyaux de labyrinthe ~2verts~~.[[newPage]]Appuyez sur [[SPECIAL]] près du chaudron pour boire. Maintenez [[TAG]] appuyé pour retourner à l'état normal.","~2Groene~~ ketels veranderen je in een wezen dat items op kan graven en in ~2groene~~ doolhofbuizen past.[[newPage]]Druk op [[SPECIAL]] in de buurt van de ketel om te drinken. Hou [[TAG]] ingedrukt om terug te keren naar je normale formaat.","Los calderos ~2verdes~~ te transforman en una criatura que desentierra objetos y entra en los tubos laberínticos ~2verdes~~.[[newPage]]Oprime [[SPECIAL]] junto al caldero para beber. Mantén oprimido [[TAG]] para volver a la normalidad."
"CHIMA_QUEST00_ACT_PAGE1","All","Game","Fine, I'll admit - there MIGHT have been a diabolical ulterior motive behind my ~2artificial CHI~~. It MAY have been designed to make anyone who uses it act like a chicken. Well, you can't have it both ways!","Fine, I'll admit - there MIGHT have been a diabolical ulterior motive behind my ~2artificial CHI~~. It MAY have been designed to make anyone who uses it act like a chicken. Well, you can't have it both ways!","D'accord, j'avoue. Il y a PEUT-ÊTRE des effets secondaires sournois derrière cette histoire de ~2CHI artificiel~~. Je l'ai PEUT-ÊTRE mis au point pour que ses utilisateurs se comportent comme des poules. Ben oui, c'est vrai que tout a un prix¬!","Okay, ich geb’s zu. VIELLEICHT hatte ich ein eigennütziges, diabolisches Motiv für die ~2Herstellung von Chi.~~ VIELLEICHT wollte ich, dass alle, die es benutzen, sich wie Hühner verhalten. Man kann eben nicht alles haben!","Okay, jeg indrømmer at der MÅSKE var et lettere lurvet motiv bag min ~2kunstige Chi~~. Det var MULIGVIS lavet sådan at alle der brugte det endte med at opføre sig som en kylling. Man kan altså ikke have det hele!","D'accord, j'avoue. Il y a PEUT-ÊTRE des effets secondaires sournois derrière cette histoire de ~2CHI artificiel~~. Je l'ai PEUT-ÊTRE mis au point pour que ses utilisateurs se comportent comme des poules. Ben oui, c'est vrai que tout a un prix¬!","Goed, ik geef het toe. Ik had INDERDAAD een duivels plannetje voor ogen met mijn ~2kunstmatige CHI~~. Ik heb deze kracht INDERDAAD ontworpen om iedereen die hem gebruikt zich te laten gedragen als een kip. Nou, je kunt niet alles hebben!","Bien, lo admito. Puede que haya existido un fin diabólico detrás de mi ~2CHI artificial~~. Pudo ser diseñado para hacer que el que lo use se comporte como gallina. ¡No se puede tener todo!"
"MOVIE_QUEST01_ACT_PAGE1","All","Hint","These guys are saying I smashed my spaceship through their big floating sign or something... I mean, me? I've never even FLOWN a spaceship, let alone lovingly built one from scratch, brick by brick, with my own... two...","These guys are saying I smashed my spaceship through their big floating sign or something... I mean, me? I've never even FLOWN a spaceship, let alone lovingly built one from scratch, brick by brick, with my own... two...","Benny : Ces gens prétendent que j'ai fracassé leur enseigne flottante avec mon vaisseau spatial, ou je sais pas quoi... Non mais, sans rire¬? J'ai jamais PILOTÉ un seul vaisseau, et encore moins un vaisseau que j'aurais fabriqué avec mes petites mains... pièce... par... pièce...","Diese Typen sagen, ich hätte mein Raumschiff in ihr riesiges fliegendes Schild geflogen oder so. Ich meine, ich? Ich hab noch nie ein Raumschiff geflogen, geschweige denn eins liebevoll¬... Stein um Stein¬... mit meinen eigenen¬... zwei¬... Händen errichtet¬...","De der folk siger, at jeg smadrede mit rumskib igennem deres store, svævende skilt eller sådan noget ... Helt ærligt, mig? Jeg har aldrig FLØJET et rumskib, da slet ikke nænsomt bygget et, én klods ad gangen, med mine egne ... to ...","Benny : Ces gens prétendent que j'ai fracassé leur enseigne flottante avec mon vaisseau spatial, ou je sais pas quoi... Non mais, sans rire¬? J'ai jamais PILOTÉ un seul vaisseau, et encore moins un vaisseau que j'aurais fabriqué avec mes petites mains... pièce... par... pièce...","Deze jongens zeggen dat ik met mijn ruimteschip tegen hun grote zwevende bord of iets ben aangevlogen... Ik bedoel, ik? Ik heb nog nooit in een ruimteschip gevlógen, laat staan er eentje liefdevol vanaf het begin opgebouwd, steen voor steen, met mijn eigen... twee...","Unos chicos están diciendo que estrellé mi nave contra su enorme letrero flotante y lo destruí o algo así... o sea, ¿yo? Nunca he volado una nave, mucho menos he construido una desde cero, ladrillo por ladrillo, con mis propias... dos..."
"ti_LegolasBalista_1","All","Char","Arrow Launcher","Arrow Launcher","Lance-flèches","Pfeilwerfer","Arrow Launcher","Lance-flèches","Pijlwerper","Lanzaflechas"
"CHIMA_QUEST01","All","Game","Flower Power","Flower Power","Flower Power","Flower Power","Flower Power","Flower Power","Bloemenpracht","Poder floral"
"HINT_MARTY","All","Hint","[[char=Marty]] can travel to the ~2Back to the Future World~~. Use the Vorton Gateway on Vorton to reach it.","[[char=Marty]] can travel to the ~2Back to the Future World~~. Use the Vorton Gateway on Vorton to reach it.","[[char=Marty]] peut voyager vers le monde ~2Retour vers le futur~~. Utilisez le Gateway Vorton sur Vorton pour l'atteindre.","[[char=Marty]] kann zur ~2„Zurück in die Zukunft“-Welt~~ reisen. Verwende das Vorton-Tor auf Vorton, um dort hin zu gelangen.","[[char=Marty]] kan rejse til ~2Verden: Tilbage til Fremtiden~~. Brug Vorton-portalen på Vorton for at rejse dertil.","[[char=Marty]] peut voyager vers le monde ~2Back to the Future~~. Utilisez le Gateway Vorton sur Vorton pour l'atteindre.","[[char=Marty]] kan naar de ~2Back to the Future-wereld~~ reizen. Gebruik de Vorton-doorgang op Vorton om ernaartoe te gaan.","[[char=Marty]] puede viajar al ~2Mundo de Volver al futuro~~. Usa el portal de Vorton para llegar allí."
"CS_Scarecrow_iMightBeAVillain","All","Subtitle","Scarecrow: I might be a villain.","Scarecrow: I might be a villain.","Épouvantail : Moi, j'suis peut-être un méchant.","Vogelscheuche: Ich bin vielleicht ein Schurke!","Jeg er nok en skurk.","Épouvantail : Moi, j'suis peut-être un méchant.","Vogelverschrikker: Ik ben misschien een slechterik.","Espantapájaros: Tal vez sea un villano."
"DX_Batman_YoureMineGetOver","All","Subtitle","Batman: You're mine! Get over here!","Batman: You're mine! Get over here!","Batman : Je l'ai presque¬! Viens par ici¬!","Batman: Du gehörst mir. Komm hier rüber!","Du er min! Kom så her!","Batman : Je l'ai presque¬! Viens par ici¬!","Batman: Je bent van mij. Kom hier.","Batman: ¡Te atrapé! ¡Ven aquí!"
"DX_CyberController_NoooooYou","All","Subtitle","Cyber-Controller: NOOOOO! You will perish under maximum deletion.","Cyber-Controller: NOOOOO! You will perish under maximum deletion.","Cyber-controlleur : NOOON¬! Vous allez connaître la mort par effacement maximum.","Cyber-Controller: NEIN! Wir werden euch unwiderruflich löschen!","Nej! I vil gå tabt som følge af maksimal sletning.","Cyber-controlleur : NOOON¬! Vous allez connaître la mort par effacement maximum.","Cyber-Controller: Nee! Jullie zullen bezwijken aan maximale verwijdering.","Cibercontrol: ¡¡¡Nooo!!! Morirán en una eliminación máxima."
"DX_Batman_NowWhilstShesDistracted","All","Subtitle","Batman: Now, while she's distracted!","Batman: Now, while she's distracted!","Batman : Vite, tant qu'elle ne fait pas attention.","Batman: Jetzt, während sie abgelenkt ist!","Nu, mens hun er distraheret!","Batman : Vite, tant qu'elle ne fait pas attention.","Batman: Nu, terwijl ze afgeleid is!","Batman: Ahora, ¡mientras está distraída!"
